destination,hotel_name,category,price_per_night,rating,max_occupancy
Ooty,Sterling Ooty Fern Hill,Luxury,9500,4.6,2
Ooty,Taj Savoy Ooty,Luxury,11000,4.7,2
Ooty,Hotel Nahar Heritage,Standard,4200,4.0,3
Ooty,Willow Hill Residency,Standard,3600,3.9,2
Ooty,Ooty Backpackers Inn,Budget,1400,3.6,3
Ooty,Green Valley Guest House,Budget,1100,3.4,2
Goa,W Goa Vagator,Luxury,15000,4.8,2
Goa,Taj Fort Aguada,Luxury,13500,4.7,2
Goa,Baga Beach Resort,Standard,5200,4.1,3
Goa,Calangute Comfort Stay,Standard,4000,3.9,2
Goa,Zostel Goa,Budget,900,4.2,4
Goa,Anjuna Budget Rooms,Budget,1200,3.5,2
Manali,The Himalayan,Luxury,10500,4.6,2
Manali,Snow Valley Resorts,Luxury,9800,4.5,2
Manali,Apple Country Resort,Standard,4500,4.0,3
Manali,Mall Road Residency,Standard,3800,3.8,2
Manali,Old Manali Hostel,Budget,800,4.1,4
Manali,Riverside Budget Stay,Budget,1300,3.6,2
Jaipur,Rambagh Palace,Luxury,22000,4.9,2
Jaipur,ITC Rajputana,Luxury,12000,4.6,2
Jaipur,Pearl Palace Heritage,Standard,4800,4.2,3
Jaipur,Hawa Mahal View Rooms,Standard,3500,3.9,2
Jaipur,Zostel Jaipur,Budget,950,4.0,4
Jaipur,Pink City Budget Inn,Budget,1100,3.5,2
Munnar,Windermere Estate,Luxury,11500,4.7,2
Munnar,Tea County Munnar,Luxury,9200,4.4,2
Munnar,Misty Mountain Resort,Standard,4600,4.1,3
Munnar,Green Meadows Homestay,Standard,3200,4.0,2
Munnar,Munnar Backpackers,Budget,1000,3.9,3
Munnar,Cardamom Hill Guesthouse,Budget,1250,3.6,2
Coorg,Vivanta Coorg,Luxury,10800,4.6,2
Coorg,Orange County Coorg,Luxury,13800,4.8,2
Coorg,Coffee Estate Homestay,Standard,4300,4.3,3
Coorg,Madikeri Comfort Inn,Standard,3400,3.8,2
Coorg,Coorg Hostel Bunks,Budget,900,4.0,4
Coorg,Budget Homestay Coorg,Budget,1150,3.5,2
Rishikesh,Ananda in the Himalayas,Luxury,18000,4.9,2
Rishikesh,Aloha on the Ganges,Luxury,8500,4.5,2
Rishikesh,Ganga View Standard Rooms,Standard,3600,3.9,2
Rishikesh,Laxman Jhula Comfort Stay,Standard,3000,3.8,3
Rishikesh,Zostel Rishikesh,Budget,700,4.3,4
Rishikesh,Riverside Budget Camp,Budget,1000,3.7,2
Pondicherry,Palais de Mahe,Luxury,9800,4.6,2
Pondicherry,Le Dupleix,Luxury,8600,4.5,2
Pondicherry,French Quarter Residency,Standard,4000,4.1,3
Pondicherry,White Town Comfort Rooms,Standard,3200,3.9,2
Pondicherry,Backpacker Panda Pondy,Budget,850,4.0,4
Pondicherry,Auroville Budget Stay,Budget,1050,3.6,2
Udaipur,Taj Lake Palace,Luxury,28000,4.9,2
Udaipur,The Oberoi Udaivilas,Luxury,32000,5.0,2
Udaipur,Lake Pichola View Rooms,Standard,4900,4.2,3
Udaipur,City Palace Comfort Stay,Standard,3900,3.9,2
Udaipur,Zostel Udaipur,Budget,1000,4.1,4
Udaipur,Lake City Budget Inn,Budget,1200,3.5,2
Darjeeling,Mayfair Darjeeling,Luxury,10200,4.7,2
Darjeeling,Windamere Hotel,Luxury,9500,4.5,2
Darjeeling,Tea Garden Retreat,Standard,4100,4.0,3
Darjeeling,Mall Road Standard Stay,Standard,3300,3.8,2
Darjeeling,Darjeeling Hostel Hub,Budget,950,3.9,4
Darjeeling,Hill View Budget Rooms,Budget,1150,3.6,2
Paris,St Christopher's Inn Canal,Budget,3580.0,4.1,2
Paris,Generator Paris,Budget,4922.5,4.2,2
Paris,Hôtel Malte - Astotel,Standard,16557.5,4.6,2
Paris,Novotel Paris Les Halles,Standard,20585.0,4.4,2
Paris,The Ritz Paris,Luxury,125300.0,4.8,2
Paris,Le Meurice,Luxury,111875.0,4.7,2
Tokyo,Nine Hours Shinjuku,Budget,2640.0,4.1,1
Tokyo,Khaosan Tokyo Kabuki Hostel,Budget,2145.0,4.0,1
Tokyo,Hotel Gracery Shinjuku,Standard,10175.0,4.4,2
Tokyo,Tobu Hotel Levant Tokyo,Standard,8800.0,4.3,2
Tokyo,"The Ritz-Carlton, Tokyo",Luxury,68750.0,4.8,2
Tokyo,Aman Tokyo,Luxury,99000.0,4.9,2
London,Generator Hostel London,Budget,4047.0,4.1,2
London,Point A Hotel Kings Cross,Budget,9052.5,4.3,2
London,CitizenM Tower of London,Standard,17572.5,4.5,2
London,Novotel London Waterloo,Standard,19702.5,4.3,2
London,The Ritz London,Luxury,79875.0,4.8,2
